date,country_code,label,views
2023-03-08,IN,No QID,28177
2023-03-08,IN,non-political,7043300
2023-03-08,IN,political,2670278
2023-03-08,US,No QID,27126
2023-03-08,US,non-political,18989753
2023-03-08,US,political,8521434
2023-03-09,AU,No QID,715
2023-03-09,AU,non-political,1090826
2023-03-09,AU,political,459052
2023-03-09,CA,No QID,2533
2023-03-09,CA,non-political,1689242
2023-03-09,CA,political,711864
2023-03-09,GB,No QID,1282
2023-03-09,GB,non-political,3977841
2023-03-09,GB,political,1579780
2023-03-09,IN,No QID,28068
2023-03-09,IN,non-political,8231680
2023-03-09,IN,political,2673411
2023-03-09,US,No QID,8123
2023-03-09,US,non-political,18702863
2023-03-09,US,political,8549602
2023-03-10,AU,No QID,746
2023-03-10,AU,non-political,1182131
2023-03-10,AU,political,471857
2023-03-10,CA,No QID,2432
2023-03-10,CA,non-political,1786002
2023-03-10,CA,political,712800
2023-03-10,GB,No QID,1615
2023-03-10,GB,non-political,4224675
2023-03-10,GB,political,1607668
2023-03-10,IN,No QID,29639
2023-03-10,IN,non-political,7493936
2023-03-10,IN,political,2728417
2023-03-10,US,No QID,35666
2023-03-10,US,non-political,19394390
2023-03-10,US,political,8278000
2023-03-11,AU,No QID,875
2023-03-11,AU,non-political,1367417
2023-03-11,AU,political,449105
2023-03-11,CA,No QID,3327
2023-03-11,CA,non-political,1975167
2023-03-11,CA,political,690276
2023-03-11,GB,No QID,2538
2023-03-11,GB,non-political,5222089
2023-03-11,GB,political,1611938
2023-03-11,IN,No QID,29300
2023-03-11,IN,non-political,7974191
2023-03-11,IN,political,2691809
2023-03-11,US,No QID,45429
2023-03-11,US,non-political,20668006
2023-03-11,US,political,8182911
2023-03-12,AU,No QID,1159
2023-03-12,AU,non-political,1452404
2023-03-12,AU,political,560273
2023-03-12,CA,No QID,3795
2023-03-12,CA,non-political,2270620
2023-03-12,CA,political,822538
2023-03-12,GB,No QID,3037
2023-03-12,GB,non-political,5232444
2023-03-12,GB,political,1753511
2023-03-12,IN,No QID,30336
2023-03-12,IN,non-political,8477068
2023-03-12,IN,political,2708402
2023-03-12,US,No QID,46281
2023-03-12,US,non-political,23779307
2023-03-12,US,political,9054793
2023-03-13,AU,No QID,1418
2023-03-13,AU,non-political,1731595
2023-03-13,AU,political,520447
2023-03-13,CA,No QID,3792
2023-03-13,CA,non-political,3255221
2023-03-13,CA,political,761762
2023-03-13,GB,No QID,3268
2023-03-13,GB,non-political,4989452
2023-03-13,GB,political,1692835
2023-03-13,IN,No QID,26950
2023-03-13,IN,non-political,8372664
2023-03-13,IN,political,2636965
2023-03-13,US,No QID,90709
2023-03-13,US,non-political,30246738
2023-03-13,US,political,9471387
2023-03-14,AU,No QID,1393
2023-03-14,AU,non-political,1395682
2023-03-14,AU,political,499909
2023-03-14,CA,No QID,4208
2023-03-14,CA,non-political,2392444
2023-03-14,CA,political,726975
2023-03-14,GB,No QID,3591
2023-03-14,GB,non-political,4874682
2023-03-14,GB,political,1622894
2023-03-14,IN,No QID,27203
2023-03-14,IN,non-political,8464551
2023-03-14,IN,political,2824555
2023-03-14,US,No QID,45208
2023-03-14,US,non-political,24070780
2023-03-14,US,political,8832449
2023-03-15,AU,No QID,1370
2023-03-15,AU,non-political,1153587
2023-03-15,AU,political,504990
2023-03-15,CA,No QID,4215
2023-03-15,CA,non-political,1870464
2023-03-15,CA,political,722398
2023-03-15,GB,No QID,2924
2023-03-15,GB,non-political,4219775
2023-03-15,GB,political,1588046
2023-03-15,IN,No QID,30352
2023-03-15,IN,non-political,7586795
2023-03-15,IN,political,2721306
2023-03-15,US,No QID,27695
2023-03-15,US,non-political,20483586
2023-03-15,US,political,13299704
2023-03-16,AU,No QID,1378
2023-03-16,AU,non-political,1107039
2023-03-16,AU,political,476104
2023-03-16,CA,No QID,3824
2023-03-16,CA,non-political,1770207
2023-03-16,CA,political,707422
2023-03-16,GB,No QID,2742
2023-03-16,GB,non-political,4018827
2023-03-16,GB,political,1609089
2023-03-16,IN,No QID,28565
2023-03-16,IN,non-political,7539320
2023-03-16,IN,political,2768885
2023-03-16,US,No QID,23848
2023-03-16,US,non-political,19549440
2023-03-16,US,political,10381519
2023-03-17,AU,No QID,1387
2023-03-17,AU,non-political,1240301
2023-03-17,AU,political,462800
2023-03-17,CA,No QID,3766
2023-03-17,CA,non-political,1835702
2023-03-17,CA,political,806595
2023-03-17,GB,No QID,2211
2023-03-17,GB,non-political,4392965
2023-03-17,GB,political,1866164
2023-03-17,IN,No QID,28930
2023-03-17,IN,non-political,7528238
2023-03-17,IN,political,2734513
2023-03-17,US,No QID,24825
2023-03-17,US,non-political,20370104
2023-03-17,US,political,11080422
2023-03-18,AU,No QID,1545
2023-03-18,AU,non-political,1469254
2023-03-18,AU,political,434414
2023-03-18,CA,No QID,4188
2023-03-18,CA,non-political,2016037
2023-03-18,CA,political,721002
2023-03-18,GB,No QID,2216
2023-03-18,GB,non-political,5359260
2023-03-18,GB,political,1809060
2023-03-18,IN,No QID,43277
2023-03-18,IN,non-political,8604731
2023-03-18,IN,political,2805571
2023-03-18,US,No QID,14629
2023-03-18,US,non-political,21458341
2023-03-18,US,political,7872145
2023-03-19,AU,No QID,2246
2023-03-19,AU,non-political,1441099
2023-03-19,AU,political,496873
2023-03-19,CA,No QID,5080
2023-03-19,CA,non-political,2162475
2023-03-19,CA,political,736455
2023-03-19,GB,No QID,2017
2023-03-19,GB,non-political,5094436
2023-03-19,GB,political,1820596
2023-03-19,IN,No QID,50310
2023-03-19,IN,non-political,9745813
2023-03-19,IN,political,2826968
2023-03-19,US,No QID,15787
2023-03-19,US,non-political,23150075
2023-03-19,US,political,8253335
2023-03-20,AU,No QID,2426
2023-03-20,AU,non-political,1201298
2023-03-20,AU,political,494999
2023-03-20,CA,No QID,6278
2023-03-20,CA,non-political,1943015
2023-03-20,CA,political,740289
2023-03-20,GB,No QID,3112
2023-03-20,GB,non-political,4263142
2023-03-20,GB,political,1722893
2023-03-20,IN,No QID,70418
2023-03-20,IN,non-political,7699176
2023-03-20,IN,political,2774140
2023-03-20,US,No QID,40372
2023-03-20,US,non-political,21085626
2023-03-20,US,political,8323057
2023-03-21,AU,No QID,1951
2023-03-21,AU,non-political,1161211
2023-03-21,AU,political,501919
2023-03-21,CA,No QID,5761
2023-03-21,CA,non-political,1778551
2023-03-21,CA,political,724986
2023-03-21,GB,No QID,2925
2023-03-21,GB,non-political,4169779
2023-03-21,GB,political,1666537
2023-03-21,IN,No QID,68310
2023-03-21,IN,non-political,8738587
2023-03-21,IN,political,3041416
2023-03-21,US,No QID,36807
2023-03-21,US,non-political,19760145
2023-03-21,US,political,8184994
2023-03-22,AU,No QID,2084
2023-03-22,AU,non-political,1087630
2023-03-22,AU,political,466829
2023-03-22,CA,No QID,5471
2023-03-22,CA,non-political,1693151
2023-03-22,CA,political,694803
2023-03-22,GB,No QID,2723
2023-03-22,GB,non-political,3956209
2023-03-22,GB,political,1628861
2023-03-22,IN,No QID,57419
2023-03-22,IN,non-political,8033742
2023-03-22,IN,political,2798221
2023-03-22,US,No QID,16108
2023-03-22,US,non-political,19960220
2023-03-22,US,political,7949725
2023-03-23,AU,No QID,2710
2023-03-23,AU,non-political,1104236
2023-03-23,AU,political,475721
2023-03-23,CA,No QID,5315
2023-03-23,CA,non-political,1651010
2023-03-23,CA,political,709015
2023-03-23,GB,No QID,3879
2023-03-23,GB,non-political,3966550
2023-03-23,GB,political,1766502
2023-03-23,IN,No QID,53385
2023-03-23,IN,non-political,7360916
2023-03-23,IN,political,3020386
2023-03-23,US,No QID,14713
2023-03-23,US,non-political,19090278
2023-03-23,US,political,8041780
2023-03-24,AU,No QID,2987
2023-03-24,AU,non-political,1215984
2023-03-24,AU,political,461514
2023-03-24,CA,No QID,4553
2023-03-24,CA,non-political,1663999
2023-03-24,CA,political,711167
2023-03-24,GB,No QID,4492
2023-03-24,GB,non-political,4171061
2023-03-24,GB,political,1780693
2023-03-24,IN,No QID,42842
2023-03-24,IN,non-political,7627884
2023-03-24,IN,political,4077795
2023-03-24,US,No QID,14223
2023-03-24,US,non-political,18827225
2023-03-24,US,political,8420227
2023-03-25,AU,No QID,4068
2023-03-25,AU,non-political,1368665
2023-03-25,AU,political,656797
2023-03-25,CA,No QID,6546
2023-03-25,CA,non-political,2299576
2023-03-25,CA,political,687382
2023-03-25,GB,No QID,4244
2023-03-25,GB,non-political,5323739
2023-03-25,GB,political,1785009
2023-03-25,IN,No QID,46221
2023-03-25,IN,non-political,8700152
2023-03-25,IN,political,3008663
2023-03-25,US,No QID,8862
2023-03-25,US,non-political,22313105
2023-03-25,US,political,7751961
2023-03-26,AU,No QID,3917
2023-03-26,AU,non-political,1473418
2023-03-26,AU,political,573601
2023-03-26,CA,No QID,5239
2023-03-26,CA,non-political,2114509
2023-03-26,CA,political,716654
2023-03-26,GB,No QID,4081
2023-03-26,GB,non-political,5296561
2023-03-26,GB,political,1931296
2023-03-26,IN,No QID,56895
2023-03-26,IN,non-political,8734992
2023-03-26,IN,political,2973839
2023-03-26,US,No QID,8029
2023-03-26,US,non-political,22141602
2023-03-26,US,political,7768738
2023-03-27,AU,No QID,2438
2023-03-27,AU,non-political,1174414
2023-03-27,AU,political,533148
2023-03-27,CA,No QID,6053
2023-03-27,CA,non-political,1901759
2023-03-27,CA,political,731556
2023-03-27,GB,No QID,4047
2023-03-27,GB,non-political,3904286
2023-03-27,GB,political,1808514
2023-03-27,IN,No QID,47654
2023-03-27,IN,non-political,7708140
2023-03-27,IN,political,2948662
2023-03-27,US,No QID,19016
2023-03-27,US,non-political,21286466
2023-03-27,US,political,8419218
2023-03-28,AU,No QID,2226
2023-03-28,AU,non-political,1075708
2023-03-28,AU,political,514691
2023-03-28,CA,No QID,16025
2023-03-28,CA,non-political,1672128
2023-03-28,CA,political,716232
2023-03-28,GB,No QID,4111
2023-03-28,GB,non-political,4060472
2023-03-28,GB,political,1699139
2023-03-28,IN,No QID,41789
2023-03-28,IN,non-political,7369975
2023-03-28,IN,political,3061662
2023-03-28,US,No QID,16391
2023-03-28,US,non-political,19198705
2023-03-28,US,political,8547639
2023-03-29,AU,No QID,2615
2023-03-29,AU,non-political,1086554
2023-03-29,AU,political,478879
2023-03-29,CA,No QID,10015
2023-03-29,CA,non-political,1657436
2023-03-29,CA,political,694888
2023-03-29,GB,No QID,4694
2023-03-29,GB,non-political,4667012
2023-03-29,GB,political,1619823
2023-03-29,IN,No QID,44567
2023-03-29,IN,non-political,7370698
2023-03-29,IN,political,3006354
2023-03-29,US,No QID,15700
2023-03-29,US,non-political,18559984
2023-03-29,US,political,8235184
2023-03-30,AU,No QID,3597
2023-03-30,AU,non-political,1049051
2023-03-30,AU,political,469994
2023-03-30,CA,No QID,8743
2023-03-30,CA,non-political,1654869
2023-03-30,CA,political,688231
2023-03-30,GB,No QID,4493
2023-03-30,GB,non-political,3959928
2023-03-30,GB,political,1544493
2023-03-30,IN,No QID,43301
2023-03-30,IN,non-political,7871919
2023-03-30,IN,political,3127659
2023-03-30,US,No QID,34609
2023-03-30,US,non-political,18208389
2023-03-30,US,political,8156102
2023-03-31,AU,No QID,4686
2023-03-31,AU,non-political,1168768
2023-03-31,AU,political,446638
2023-03-31,CA,No QID,8704
2023-03-31,CA,non-political,1620572
2023-03-31,CA,political,690096
2023-03-31,GB,No QID,11890
2023-03-31,GB,non-political,4182747
2023-03-31,GB,political,1594699
2023-03-31,IN,No QID,45210
2023-03-31,IN,non-political,9671068
2023-03-31,IN,political,2741548
2023-03-31,US,No QID,34480
2023-03-31,US,non-political,18182734
2023-03-31,US,political,8258413
2023-04-01,AU,No QID,6072
2023-04-01,AU,non-political,1308181
2023-04-01,AU,political,492140
2023-04-01,CA,No QID,9494
2023-04-01,CA,non-political,1809927
2023-04-01,CA,political,652290
2023-04-01,GB,No QID,13483
2023-04-01,GB,non-political,4994144
2023-04-01,GB,political,1632363
2023-04-01,IN,No QID,42466
2023-04-01,IN,non-political,10341090
2023-04-01,IN,political,2732064
2023-04-01,US,No QID,12607
2023-04-01,US,non-political,20307352
2023-04-01,US,political,7417302
2023-04-02,AU,No QID,6978
2023-04-02,AU,non-political,1375529
2023-04-02,AU,political,532563
2023-04-02,CA,No QID,10489
2023-04-02,CA,non-political,2088958
2023-04-02,CA,political,689183
2023-04-02,GB,No QID,12789
2023-04-02,GB,non-political,4841448
2023-04-02,GB,political,1622664
2023-04-02,IN,No QID,41985
2023-04-02,IN,non-political,11060765
2023-04-02,IN,political,2710263
2023-04-02,US,No QID,13880
2023-04-02,US,non-political,23337385
2023-04-02,US,political,7625946
